bidder,wild tract bids,strict neighbor bids,existing bg bids,average neighbors per bid,num bids,average final round number,wild tract bids winner,strict neighbor bids winner,existing bg bids winner,average neighbors per bid winner,num wins,average final round number winner,won blocks in wild tract bg,won blocks in strict neighbor bg,won blocks in existing bg,total blocks won
"Worldwide Technologies, Inc.",10,0,0,0,10,17.6,3,0,0,0,3,17.0,72,0,0,72
"Albion Telephone Company, Inc.",0,1,0,2,1,13.0,0,1,0,2,1,13.0,0,29,0,29
Amherst Telephone Company,0,0,1,3,1,14.0,0,0,0,0,0,0.0,0,0,0,0
Atlantic Telephone Membership Corporation,10,1,0,2,11,14.272727272727273,0,0,0,0,0,0.0,0,0,0,0
"Bruce Telephone Company, Inc.",0,0,1,4,1,17.0,0,0,1,4,1,17.0,0,0,6,6
Climax Telephone Company,0,0,1,8,1,10.0,0,0,0,0,0,0.0,0,0,0,0
Farmers Telephone Company,85,1,0,1,86,15.36046511627907,32,0,0,0,32,16.96875,379,0,0,379
Getwireless.net,16,1,0,7,17,2.0,0,0,0,0,0,0.0,0,0,0,0
Hood Canal Communications,0,0,1,4,1,12.0,0,0,0,0,0,0.0,0,0,0,0
Kingdom Telecommunications Inc,10,1,0,5,11,12.636363636363637,0,0,0,0,0,0.0,0,0,0,0
Lincolnville Telephone Company,0,1,0,4,1,12.0,0,0,0,0,0,0.0,0,0,0,0
Reservation Telephone Cooperative,0,0,1,8,1,14.0,0,0,1,8,1,14.0,0,0,24,24
Scranton Telephone Company,0,1,0,1,1,12.0,0,0,0,0,0,0.0,0,0,0,0
Siyeh Communications,2,1,0,1,3,9.666666666666666,0,0,0,0,0,0.0,0,0,0,0
Southern Montana Telephone Company,0,1,0,2,1,11.0,0,0,0,0,0,0.0,0,0,0,0
Southwest Texas Telephone Company,0,0,1,8,1,10.0,0,0,0,0,0,0.0,0,0,0,0
St Paul Coop Telephone Assoc,0,0,1,2,1,13.0,0,0,1,2,1,13.0,0,0,7,7
"B2X Online, Inc.",0,0,2,10,2,11.0,0,0,0,0,0,0.0,0,0,0,0
Barry Technology Services,0,2,0,4,2,14.0,0,1,0,3,1,14.0,0,8,0,8
"Coon Valley Co-op Telephone Association, Inc.",0,0,2,5,2,15.0,0,0,0,0,0,0.0,0,0,0,0
Custer Telephone Cooperative Inc.,0,0,2,6,2,13.0,0,0,2,6,2,13.0,0,0,72,72
Grand Mound Cooperative Telephone Association,0,0,2,10,2,15.0,0,0,0,0,0,0.0,0,0,0,0
"Hartington Telecommunications Co., Inc.",0,1,1,5,2,17.0,0,0,0,0,0,0.0,0,0,0,0
Heart of Iowa Communications Cooperative,0,0,2,13,2,14.0,0,0,0,0,0,0.0,0,0,0,0
Hillsboro Telephone Company,0,0,2,10,2,14.0,0,0,0,0,0,0.0,0,0,0,0
"Leap Communications, LLC",8,2,0,4,10,10.8,0,0,0,0,0,0.0,0,0,0,0
"Martell Enterprises, Inc.",0,1,1,3,2,12.5,0,0,0,0,0,0.0,0,0,0,0
Mountain View Telephone Company,0,0,2,11,2,14.0,0,0,1,5,1,13.0,0,0,7,7
"Ponderosa Communications, Inc.",0,0,2,4,2,13.0,0,0,0,0,0,0.0,0,0,0,0
Public Service Telephone Company,0,0,2,7,2,15.0,0,0,0,0,0,0.0,0,0,0,0
